Id_Alumno;Id_Carrera;Semestre_Ingreso;Año_Ingreso;Id_Ctro_Ext;Id_Modalidad;Fecha_Ingreso;Activo;Sexo;Fecha_Nac
0x5C438B98E09CF6E82CE53715589B0D80;1;2;2001;CO;P;2001-08-17 00:00:00;S;M;14/3/1976 00:00
0x1B623AE7976F3AB9F4995C4023E4FC1F;13;1;2006;CO;P;2006-03-02 00:00:00;S;M;3/5/1976 00:00
0xE8510F3787958B7D6315E3F378F8BD6A;7;1;2005;CO;P;2005-02-07 00:00:00;S;F;19/12/1975 00:00
0x4E91412C59AC7CADF045A589CC2A950A;2;1;2001;CO;P;2001-03-20 00:00:00;S;F;19/1/1976 00:00
0x3FED144ECAD05CD170B44E8D474361E6;13;1;2001;CO;P;2001-02-28 00:00:00;S;M;24/2/1976 00:00
0x2F92E19D8DE5C5D57B31B751A07AE726;4;2;2004;CO;P;2004-08-09 00:00:00;S;M;1/8/1976 00:00
0x8474E8C8983A0E9482798DD972F4C391;7;1;2007;CO;P;2007-03-08 00:00:00;S;F;11/10/1976 00:00
0x3990B9C49FDAB6B17A28446558F988D7;1;1;2003;CO;P;2003-03-03 00:00:00;S;F;16/12/1975 00:00
0x616F04AFAC3D90BD889B72F14EE897C6;9;1;2002;CO;P;2002-03-12 00:00:00;S;M;3/6/1976 00:00
0x69176887FC2C68C2B1291E5BA6815919;7;1;2005;CO;P;2005-02-22 00:00:00;S;F;5/6/1976 00:00
0xF3FA8E658CD3E3AD53E8120EBB354BF0;7;1;2001;CO;P;2001-02-05 00:00:00;S;M;1/4/1976 00:00
0x832F627C09A1AF68BEBADF97B40505D6;7;1;2001;CO;P;2001-01-16 00:00:00;S;F;5/5/1976 00:00
0xE0E5DB0E0DF3F3AC357070CDE2946637;13;2;2001;CO;P;2001-08-03 00:00:00;S;F;6/4/1976 00:00
0x7BF3594A669FD0A72C9CEE9B4F740BBE;7;1;2005;CO;P;2004-11-09 00:00:00;S;F;17/2/1976 00:00
0xF56D9CCA85EA05C623816B7F77DD83F6;14;1;2001;CO;P;2001-03-12 00:00:00;S;M;7/10/1976 00:00
0x65B170E93F6089B57EF707B28BA4DD82;7;1;2001;CO;P;2001-04-04 00:00:00;S;F;15/9/1976 00:00
